height_m,wet_radius_micron,concentration_m3
0.0,144687.8039216307,4.3303382465476966e-07
0.0,148845.74158080938,4.459860060387802e-07
0.0,153123.16716577747,4.593116831882323e-07
0.0,157523.51443759148,4.730215567245796e-07
0.0,162050.31583434917,4.871266355114997e-07
0.0,166707.2053069021,5.016382455018412e-07
0.0,171497.92123605844,5.165680388386713e-07
0.0,176426.3094336187,5.319280032176639e-07
0.0,181496.32622965277,5.477304715184473e-07
0.0,186712.04164849766,5.639881317125944e-07
0.0,192077.64267602406,5.807140370563109e-07
0.0,197597.43662079566,5.979216165759368e-07
0.0,203275.8545718193,6.156246858547628e-07
0.0,209117.45495566164,6.338374581298179e-07
0.0,215126.92719578705,6.525745557075344e-07
0.0,221309.09547705596,6.718510217075168e-07
0.0,227668.92261840406,6.916823321438046e-07
0.0,234211.51405681195,7.120844083533873e-07
0.0,240942.12194576403,7.330736297819296e-07
0.0,247866.1493714851,7.546668471370216e-07
0.0,254989.15469034077,7.76881395919477e-07
0.0,262316.85599088285,7.997351103435854e-07
0.0,269855.13568412233,8.232463376575362e-07
0.0,277610.04522571387,8.474339528754442e-07
0.0,285587.8099738437,8.723173739328586e-07
0.0,293794.83418671926,8.979165772779488e-07
0.0,302237.70616367453,9.242521139108845e-07
0.0,310923.20353401557,9.513451258842242e-07
0.0,319858.29869785404,9.792173632776918e-07
0.0,329050.1644232955,1.0078912016608664e-06
0.0,338506.17960447574,1.0373896600578856e-06
0.0,348233.93518506706,1.0677364194285299e-06
0.0,358241.24025201146,1.098955841680578e-06
0.0,368536.1283043695,1.1310729892287019e-06
0.0,379126.8637023207,1.1641136451155423e-06
0.0,390021.9483014903,1.1981043337112542e-06
0.0,401230.1282779271,1.2330723420079574e-06
0.0,412760.40114921564,1.2690457415264126e-06
0.0,424622.02299735433,1.306053410852325e-06
0.0,436824.51589920005,1.3441250588204393e-06
0.0,449377.6755704435,1.3832912483651171e-06
0.0,462291.5792292521,1.423583421056443e-06
0.0,475576.59368589305,1.4650339223415334e-06
0.0,489243.38366483,1.5076760275115166e-06
0.0,503302.92036597367,1.551543968414744e-06
0.0,517766.49027196097,1.59667296093796e-06
